ID,isHappy
1,0
2,0
3,1
4,1
5,1
6,1
7,0
8,0
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,0
17,1
18,0
19,1
20,0
21,1
22,0
23,1
24,0
25,1
26,0
27,0
28,0
29,1
30,1
31,0
32,0
33,0
34,1
35,0
36,1
37,1
38,1
39,0
40,1
41,1
42,1
43,1
44,0
45,0
46,1
47,1
48,1
49,1
50,0
51,0
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,0
60,1
61,0
62,1
63,0
64,1
65,0
66,1
67,0
68,1
69,0
70,0
71,0
72,1
73,1
74,0
75,1
76,1
77,0
78,1
79,0
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,0
90,1
91,1
92,0
93,0
94,1
95,1
96,1
97,1
98,1
99,0
100,1
101,0
102,1
103,1
104,1
105,1
106,1
107,0
108,1
109,0
110,1
111,1
112,0
113,0
114,1
115,0
116,0
117,1
118,0
119,0
120,0
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,0
129,0
130,1
131,0
132,0
133,1
134,0
135,0
136,1
137,1
138,1
139,1
140,1
141,1
142,0
143,1
144,0
145,0
146,0
147,0
148,0
149,1
150,0
151,1
152,1
153,1
154,0
155,0
156,0
157,0
158,0
159,1
160,1
161,1
162,1
163,0
164,1
165,1
166,1
167,0
168,0
169,1
170,0
171,1
172,1
173,0
174,1
175,0
176,1
177,1
178,0
179,1
180,0
181,1
182,0
183,1
184,1
185,1
186,0
187,1
188,1
189,0
190,0
191,0
192,1
193,0
194,1
195,1
196,0
197,1
198,1
199,1
200,0
201,0
202,1
203,0
204,0
205,1
206,1
207,1
208,1
209,1
210,1
211,0
212,0
213,1
214,1
215,1
216,1
217,0
218,1
219,0
220,0
221,1
222,0
223,1
224,0
225,0
226,1
227,0
228,0
229,0
230,1
231,1
232,1
233,1
234,1
235,0
236,1
237,1
238,1
239,0
240,1
241,0
242,1
243,0
244,1
245,0
246,1
247,1
248,1
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,1
257,0
258,1
259,1
260,1
261,1
262,1
263,0
264,1
265,1
266,1
267,0
268,0
269,0
270,1
271,0
272,1
273,1
274,1
275,1
276,1
277,1
278,0
279,0
